,0-3m,3-6m,6-9m,9-12m
0-3m,0.7142857142857143,0.6190476190476191,0.8823529411764706,1.0
3-6m,,0.7894736842105263,0.8,0.875
6-9m,,,0.6,0.7916666666666666
9-12m,,,,0.7368421052631579
