hub_tier,n_pairs,continuation_rate,irl_dir_auc,rf_dir_auc
low_hub,1449,0.453416149068323,0.8092156342727118,0.7586884830035514
mid_hub,760,0.48026315789473684,0.8844841338650945,0.8533795734350615
high_hub,841,0.41854934601664684,0.8289499674660717,0.7862056144264733
