project_tier,n_reviewers,avg_reviews,avg_acceptance,avg_active_days
single,1322,27.311649016641454,0.39544869439864133,334.1906202723147
2_projects,307,53.43322475570032,0.43124966590523145,1029.7491856677525
3+_projects,313,260.297124600639,0.4819760826861766,1908.2268370607028
