,0-3m,3-6m,6-9m,9-12m
0-3m,0.6451612903225806,0.5384615384615384,0.5,0.5357142857142857
3-6m,,0.5,0.45454545454545453,0.35714285714285715
6-9m,,,0.9545454545454546,0.8928571428571429
9-12m,,,,0.7857142857142857
