bucket,cochange_n,cochange_continuation_rate,cochange_irl_auc,cochange_rf_auc,static_n,static_continuation_rate,static_irl_auc,static_rf_auc
0%,280,0.1107142857142857,0.709936520274647,0.5406140691799456,256,0.09765625,0.6597402597402597,0.48043290043290043
0-25%,1280,0.1890625,0.639604133823787,0.5989466392776955,6408,0.4193196004993758,0.8089632895583432,0.8091536214008603
25-50%,1112,0.2491007194244604,0.764521498519207,0.7723448410039128,1248,0.4150641025641026,0.7450282963981594,0.7335047865869784
50%+,4628,0.5598530682800346,0.7902430091550241,0.7924996973209064,116,0.47413793103448276,0.6870342771982115,0.648435171385991
no_neighbors,4900,0.3236734693877551,0.7826935633991147,0.7674782020713834,4172,0.34563758389261745,0.8013525425106562,0.7869910025249831
