bucket,n,continuation_rate,irl_auc,rf_auc,agreement_rate
no_neighbors,4900,0.3236734693877551,0.7826935633991147,0.7674782020713834,0.740204081632653
0%,280,0.11071428571428571,0.709936520274647,0.5406140691799456,0.5928571428571429
0-25%,1280,0.1890625,0.639604133823787,0.5989466392776955,0.62734375
25-50%,1112,0.24910071942446044,0.764521498519207,0.7723448410039128,0.737410071942446
50%+,4628,0.5598530682800346,0.7902430091550241,0.7924996973209064,0.7960242005185826
