bucket,n,continuation_rate,irl_auc,rf_auc,agreement_rate
no_neighbors,4172,0.34563758389261745,0.8013525425106562,0.7869910025249831,0.75143815915628
0%,256,0.09765625,0.6597402597402597,0.48043290043290043,0.5703125
0-25%,6408,0.4193196004993758,0.8089632895583432,0.8091536214008603,0.7773096129837703
25-50%,1248,0.4150641025641026,0.7450282963981594,0.7335047865869784,0.7756410256410257
50%+,116,0.47413793103448276,0.6870342771982115,0.648435171385991,0.7413793103448276
