tier,n_repos,total_rows,total_changes,total_reviewers,median_rows,median_reviewers,median_acceptance,median_active_months,median_rows_per_month
大,110,175439,46697,7486,286.0,36.5,0.5816395663956639,84.39553219448095,3.1546900654025145
中,12,13558,4570,784,392.5,47.5,0.4899130013197942,109.64191852825229,3.8611237457829013
小,80,32190,11306,2861,156.5,28.0,0.4966216216216216,85.33180026281208,1.9776039988510485
極小,29,2237,1194,537,55.0,17.0,0.6851851851851852,72.99605781865965,1.0178761861726164
